Commodity,Total Intra-ASEAN Trade,Intra-ASEAN Exports,Intra-ASEAN Imports
1,1560.010512,857.9098989,702.1006131
2,375.2479471,236.7376724,138.5102747
3,3571.593466,1814.165765,1757.427702
4,1344.57592,718.9155409,625.6603793
5,62.71688706,26.6279231,36.08896396
6,156.1592361,83.87966288,72.27957317
7,1770.701504,694.9685102,1075.732994
8,3735.732496,2008.181845,1727.550651
9,1526.877506,780.699485,746.1780209
10,4204.432118,2125.231593,2079.200525
11,1215.494171,628.504577,586.9895938
12,413.6148429,180.1135517,233.5012912
13,121.7019108,64.89993755,56.8019732
14,124.1664282,53.87268534,70.29374286
15,8051.801775,4266.928552,3784.873224
16,1132.938142,611.0223801,521.9157616
17,4824.425889,2485.328571,2339.097318
18,1749.527607,979.6875188,769.8400884
19,5091.59141,2633.37084,2458.22057
20,749.8472548,439.7037313,310.1435236
21,7402.985969,3899.563521,3503.422448
22,5384.22864,3799.827446,1584.401194
23,2385.077049,1159.890559,1225.18649
24,3621.990209,2465.858476,1156.131733
25,2988.081222,1372.72795,1615.353272
26,664.3467122,445.1689178,219.1777945
27,1.29E+05,63308.11827,65543.97545
28,2738.985248,1426.426006,1312.559242
29,11341.95846,5768.285783,5573.672679
30,2692.332322,1623.225814,1069.106508
31,1981.094963,931.1769105,1049.918053
32,3085.481824,1695.382353,1390.099471
33,7385.748376,4286.212722,3099.535654
34,2909.189933,1566.14647,1343.043463
35,964.4259006,519.7518407,444.6740599
36,95.33579227,34.60177336,60.73401891
37,185.2113936,124.7181478,60.49324576
38,8140.961475,4082.760846,4058.200629
39,26309.23378,14133.7537,12175.48008
40,8215.616241,4223.010575,3992.605666
41,1312.933581,648.4484008,664.4851799
42,993.7945226,590.2366088,403.5579137
43,5.42893599,2.65339982,2.77553617
44,2865.570282,1332.603154,1532.967128
45,2.58089343,0.87824535,1.70264808
46,15.64114186,10.46599717,5.17514469
47,1009.815467,259.4910266,750.3244401
48,7286.44762,3444.925676,3841.521945
49,670.5814154,381.3453888,289.2360266
50,16.38291211,10.33293201,6.04998011
51,24.30607469,2.93675754,21.36931715
52,987.8318222,565.724354,422.1074682
53,11.9351449,8.24311115,3.69203374
54,1620.586289,883.8877699,736.6985191
55,1300.397791,691.5296188,608.8681718
56,915.8115322,488.4575777,427.3539545
57,109.8614038,56.32102956,53.54037427
58,310.6739977,167.473008,143.2009896
59,620.4291358,333.8869339,286.5422019
60,2644.479212,1383.036442,1261.442771
61,1897.082785,816.4254774,1080.657308
62,1525.843903,798.7416764,727.1022264
63,662.8697678,391.5002344,271.3695334
64,2635.683894,1257.098755,1378.585139
65,135.7648093,77.09975943,58.6650499
66,4.61116682,2.2883832,2.32278362
67,108.8484137,99.69606802,9.15234571
68,1868.887241,978.7822343,890.1050071
69,965.0816836,492.7468311,472.3348525
70,2683.376672,1295.697617,1387.679055
71,23552.07016,11749.31548,11802.75468
72,12833.97902,6978.509571,5855.469453
73,8744.374419,4723.770763,4020.603656
74,6915.072687,3466.418571,3448.654116
75,333.594045,266.0050849,67.58896004
76,4674.657656,2520.341049,2154.316607
77,306.6440993,150.7728532,155.8712461
79,149.5991722,91.6775139,57.92165831
80,1349.688646,758.2380859,591.4505605
81,62.05014162,33.35434007,28.69580155
82,1016.276945,671.4967755,344.7801696
83,1395.116923,770.6853667,624.4315566
84,64190.5574,36075.66876,28114.88864
85,1.39E+05,74115.26518,65295.98425
86,213.797163,112.6672107,101.1299523
87,33922.80515,16726.97688,17195.82827
88,3797.920784,2759.253013,1038.667771
89,2921.814778,1958.998314,962.8164643
90,13446.99003,7166.590521,6280.39951
91,1602.090361,1054.621913,547.4684481
92,125.2931106,67.70992806,57.58318258
93,33.86339185,6.75302658,27.11036527
94,2427.361254,1217.042711,1210.318543
95,895.7489766,541.1316633,354.6173133
96,1470.271545,793.71279,676.5587555
97,59.10766479,25.42750748,33.68015731
99,2411.20431,1479.176092,932.0282182
