Commodity,Total Trade,Export,Import
1,1487.146354,271.900609,1215.245745
2,5714.27549,1053.947121,4660.328369
3,17463.93243,11582.66437,5881.268069
4,6372.821502,1102.666052,5270.15545
5,970.531448,189.5828305,780.9486175
6,484.4355991,316.1449066,168.2906926
8,4983.396204,2027.545623,2955.85058
8,17953.6629,12238.96612,5714.696785
9,5936.182483,4785.345887,1150.836596
10,16961.87682,6206.56292,10755.3139
11,3694.823503,2127.685386,1567.138117
12,5833.421904,1124.661771,4708.760133
13,869.0473397,449.5414299,419.5059097
14,289.4344047,277.8773109,11.55709378
15,28249.7256,26776.65539,1473.070204
16,11030.43422,10411.9868,618.4474172
17,3770.462764,2009.199847,1761.262917
18,4881.925234,2682.621795,2199.30344
19,5769.729651,4131.03793,1638.691721
20,5157.478883,3645.578946,1511.899937
21,11271.42778,7701.521209,3569.906566
22,6921.665011,2736.537639,4185.127372
23,13980.34132,3054.222732,10926.11859
24,3159.113453,1273.320158,1885.793295
25,4591.628106,2376.838683,2214.789423
26,11694.73482,6579.14052,5115.594299
27,2.17E+05,78486.96302,1.38E+05
28,11751.00115,3279.467465,8471.533682
29,40648.63194,19671.11118,20977.52076
30,21422.97243,8203.358421,13219.614
31,6346.195146,927.4698005,5418.725346
32,7989.016064,1846.26234,6142.753724
33,18198.37098,9694.32211,8504.04887
34,5882.556818,3010.30848,2872.248337
35,3551.386694,1172.15999,2379.226704
36,336.9894272,91.69053553,245.2988917
37,1054.985815,231.9481219,823.0376926
38,28425.48678,12981.98246,15443.50432
39,76990.16148,32141.6522,44848.50929
40,41024.94556,31631.88813,9393.057422
41,3460.832671,693.9017451,2766.930926
42,12449.90568,8321.327941,4128.57774
43,1555.592944,688.4016235,867.1913207
44,16325.03419,12464.02216,3861.012025
45,19.9657371,1.61404307,18.35169403
46,447.4021469,413.5247717,33.87737519
47,7134.049153,4006.811383,3127.237769
48,14298.11466,6361.099376,7937.015285
49,1720.220431,730.4112286,989.809202
50,194.9103371,114.3474179,80.56291921
51,688.2799284,79.5969477,608.6829807
52,12319.03919,4095.574593,8223.464599
53,348.0411418,104.9848945,243.0562472
54,8851.208465,2496.544181,6354.664284
55,10305.65011,3930.534849,6375.115261
56,3149.9444,1040.901728,2109.042672
57,732.3185449,366.3672421,365.9513028
58,2407.025911,314.8538724,2092.172039
59,4151.95294,921.7829628,3230.169977
60,10288.42733,675.9741325,9612.453198
61,31630.41822,29097.55327,2532.864954
62,30193.4185,27223.49136,2969.92714
63,4027.185984,2573.218033,1453.967951
64,28953.6905,25466.59706,3487.093445
65,881.0540171,658.0481433,223.0058738
66,178.8545084,67.20666596,111.6478425
67,700.8400369,485.5202785,215.3197585
68,3270.281045,1200.360072,2069.920972
69,4644.690964,1606.12191,3038.569055
70,6101.608623,2312.533019,3789.075604
71,62706.05561,36451.79624,26254.25937
72,55124.03326,12366.34773,42757.68554
73,29868.39063,9267.464099,20600.92653
74,18419.64687,8089.258553,10330.38832
75,3308.681961,1907.977727,1400.704234
76,18761.2257,5916.905739,12844.31996
77,1209.31231,241.160269,968.1520407
79,1977.352135,189.7969303,1787.555204
80,1769.793679,1529.233839,240.5598403
81,866.8004347,247.6822398,619.1181949
82,5481.749812,1739.974115,3741.775697
83,4985.495381,1547.840007,3437.655374
84,2.63E+05,1.15E+05,1.48E+05
85,5.67E+05,3.06E+05,2.61E+05
86,1559.622966,283.5179226,1276.105044
87,62503.29363,30677.98992,31825.30371
88,30526.51192,9768.519841,20757.99208
89,4583.413221,2195.162653,2388.250568
90,69888.91914,37073.18696,32815.73218
91,5829.353767,2318.712937,3510.640831
92,1186.634527,851.4642764,335.170251
93,4688.024129,1957.868832,2730.155297
94,22008.22106,16121.18931,5887.031749
95,6625.740262,3988.441859,2637.298403
96,4766.215487,1635.12694,3131.088547
97,804.0366987,398.0684359,405.9682628
99,33531.36724,25405.39837,8125.968868
